var,bin,bin_lo,bin_hi,bin_mid,n,pos_rate,method,brier,logloss,ece,acc@0.5,f1@0.5,brier_base,ece_base,logloss_base,delta_brier,delta_ece,delta_logloss
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,uncalibrated,0.033567306183879084,0.14686598408777482,0.022501614026546476,0.96307,0.9757532384822959,0.033567306183879084,0.022501614026546476,0.14686598408777482,0.0,0.0,0.0
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,beta,0.03233479008292742,0.13725381606905415,0.0035125956935068386,0.96401,0.9763278192521458,0.033567306183879084,0.022501614026546476,0.14686598408777482,-0.0012325161009516666,-0.018989018333039637,-0.009612168018720668
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,isotonic,0.03232360907033799,0.13782849279861334,0.0045193941892832995,0.964,0.9763226434453185,0.033567306183879084,0.022501614026546476,0.14686598408777482,-0.0012436971135410951,-0.017982219837263176,-0.009037491289161481
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,magaware_platt,0.03215227362714476,0.13660532572217737,0.0032154788925567034,0.96402,0.9763230281254525,0.033567306183879084,0.022501614026546476,0.14686598408777482,-0.001415032556734322,-0.019286135133989774,-0.010260658365597447
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,magbinned_beta,0.03227216035504132,0.13705780339126228,0.0025238331687148985,0.96401,0.9763137977557669,0.033567306183879084,0.022501614026546476,0.14686598408777482,-0.0012951458288377668,-0.019977780857831577,-0.009808180696512542
mag,0,-7.812374591827393,-1.2627123832702636,-4.537543487548828,100000,0.74797,magbinned_isotonic,0.0322498391637039,0.13794644399065176,0.0017805061495982863,0.96403,0.9763313220111467,0.033567306183879084,0.022501614026546476,0.14686598408777482,-0.0013174670201751837,-0.02072110787694819,-0.008919540097123063
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,uncalibrated,0.07148288570100954,0.2662286071271835,0.04733160954733516,0.9144691446914469,0.9502729667032948,0.07148288570100954,0.04733160954733516,0.2662286071271835,0.0,0.0,0.0
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,beta,0.06658828417093395,0.24604908120846486,0.008455975972778019,0.9193191931919319,0.95254173480312,0.07148288570100954,0.04733160954733516,0.2662286071271835,-0.004894601530075593,-0.038875633574557145,-0.020179525918718633
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,isotonic,0.06655550855229923,0.245837257183577,0.006789535057084052,0.9192791927919279,0.9525589486799727,0.07148288570100954,0.04733160954733516,0.2662286071271835,-0.004927377148710305,-0.04054207449025111,-0.0203913499436065
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,magaware_platt,0.06648326890901528,0.2456262890212272,0.0064008409108530905,0.919679196791968,0.9526749941079425,0.07148288570100954,0.04733160954733516,0.2662286071271835,-0.00499961679199426,-0.04093076863648207,-0.02060231810595628
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,magbinned_beta,0.06643474557339535,0.24543060836962535,0.005676263581515358,0.9194291942919429,0.9524012075453864,0.07148288570100954,0.04733160954733516,0.2662286071271835,-0.00504814012761419,-0.0416553459658198,-0.02079799875755814
mag,1,-1.2627123832702636,-0.6219603419303894,-0.9423363626003265,99999,0.8243682436824368,magbinned_isotonic,0.06646210225813688,0.24641274959741857,0.003792329837662457,0.9196391963919639,0.9526586782604597,0.07148288570100954,0.04733160954733516,0.2662286071271835,-0.005020783442872656,-0.0435392797096727,-0.01981585752976492
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,uncalibrated,0.13828919086628255,0.4426999367277419,0.0880327067928253,0.8120418795812042,0.8834457783510269,0.13828919086628255,0.0880327067928253,0.4426999367277419,0.0,0.0,0.0
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,beta,0.12715097118711857,0.406331511786623,0.00973868702088746,0.8248417515824842,0.8858743810268439,0.13828919086628255,0.0880327067928253,0.4426999367277419,-0.01113821967916398,-0.07829401977193784,-0.03636842494111886
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,isotonic,0.1270935737741241,0.40611454863410823,0.006622610641857513,0.8250117498825011,0.8863944739114346,0.13828919086628255,0.0880327067928253,0.4426999367277419,-0.011195617092158439,-0.08141009615096778,-0.03658538809363365
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,magaware_platt,0.12717523882823722,0.40640432392666703,0.010205663054306386,0.8247617523824762,0.8853501517847796,0.13828919086628255,0.0880327067928253,0.4426999367277419,-0.011113952038045327,-0.07782704373851891,-0.03629561280107485
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,magbinned_beta,0.1271238560513616,0.40624614819149096,0.008598518784068209,0.8247917520824791,0.8854888992006902,0.13828919086628255,0.0880327067928253,0.4426999367277419,-0.011165334814920963,-0.07943418800875708,-0.03645378853625092
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,magbinned_isotonic,0.127144773002561,0.40743000743788854,0.00618959061154709,0.8247517524824751,0.8855824035203406,0.13828919086628255,0.0880327067928253,0.4426999367277419,-0.011144417863721556,-0.08184311618127821,-0.03526992928985334
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,uncalibrated,0.1874970301125597,0.5534199240227737,0.12213701374959376,0.7126571265712657,0.7653371226969816,0.1874970301125597,0.12213701374959376,0.5534199240227737,0.0,0.0,0.0
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,beta,0.17006218806563672,0.5072585120152414,0.007261300633167727,0.7422674226742267,0.7506554569817052,0.1874970301125597,0.12213701374959376,0.5534199240227737,-0.01743484204692297,-0.11487571311642604,-0.04616141200753232
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,isotonic,0.17005880491886555,0.5073084152763814,0.005907581333590666,0.7419774197741977,0.7531759393893013,0.1874970301125597,0.12213701374959376,0.5534199240227737,-0.017438225193694146,-0.1162294324160031,-0.04611150874639236
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,magaware_platt,0.1701802007873258,0.5075507593096397,0.011862242091898883,0.7420674206742067,0.7485351610104221,0.1874970301125597,0.12213701374959376,0.5534199240227737,-0.0173168293252339,-0.11027477165769488,-0.04586916471313407
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,magbinned_beta,0.17001495042314527,0.5071827951649702,0.005528651443116474,0.7419974199741998,0.7518610421836228,0.1874970301125597,0.12213701374959376,0.5534199240227737,-0.017482079689414426,-0.1166083623064773,-0.04623712885780351
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,magbinned_isotonic,0.17007530526869977,0.5072900716135993,0.006581601350306381,0.7418874188741887,0.7483400446554801,0.1874970301125597,0.12213701374959376,0.5534199240227737,-0.017421724843859926,-0.11555541239928738,-0.04612985240917444
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,uncalibrated,0.1597542456645767,0.4780732771895721,0.11722945114109405,0.75366,0.6252700112568074,0.1597542456645767,0.11722945114109405,0.4780732771895721,0.0,0.0,0.0
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,beta,0.1430603352767495,0.43511781314036635,0.009056413768646361,0.78781,0.5447641114758319,0.1597542456645767,0.11722945114109405,0.4780732771895721,-0.016693910387827193,-0.10817303737244768,-0.04295546404920575
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,isotonic,0.14309506305747421,0.4352931384981486,0.0065480950215924885,0.788,0.5539659162634126,0.1597542456645767,0.11722945114109405,0.4780732771895721,-0.016659182607102474,-0.11068135611950156,-0.0427801386914235
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,magaware_platt,0.14313682326516028,0.4353082940883684,0.011229391078425598,0.78756,0.5408886583679114,0.1597542456645767,0.11722945114109405,0.4780732771895721,-0.01661742239941641,-0.10600006006266846,-0.04276498310120369
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,magbinned_beta,0.14298070802217136,0.43493368276921623,0.00647611979973574,0.78704,0.5577705789517402,0.1597542456645767,0.11722945114109405,0.4780732771895721,-0.01677353764240533,-0.11075333134135831,-0.043139594420355865
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,magbinned_isotonic,0.14314671672265386,0.4356979704883368,0.006805677423940294,0.78669,0.5742570305171347,0.1597542456645767,0.11722945114109405,0.4780732771895721,-0.016607528941922828,-0.11042377371715376,-0.042375306701235294
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,uncalibrated,0.0969151297336189,0.31813668368474357,0.08899005150429912,0.8713612863871362,0.5143461189972818,0.0969151297336189,0.08899005150429912,0.31813668368474357,0.0,0.0,0.0
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,beta,0.08586585479723646,0.2829005458796881,0.006503244105909749,0.8836111638883611,0.39193354579175593,0.0969151297336189,0.08899005150429912,0.31813668368474357,-0.011049274936382442,-0.08248680739838937,-0.03523613780505547
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,isotonic,0.08583649918448066,0.28278769447705615,0.003981921281837026,0.8837711622883772,0.40072183552461976,0.0969151297336189,0.08899005150429912,0.31813668368474357,-0.01107863054913824,-0.08500813022246209,-0.03534898920768742
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,magaware_platt,0.08589726871811933,0.28304290293218765,0.008068995417576334,0.8836311636883631,0.39057344854674,0.0969151297336189,0.08899005150429912,0.31813668368474357,-0.011017861015499578,-0.08092105608672279,-0.035093780752555925
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,magbinned_beta,0.08588102833085505,0.2829142544959889,0.00625233781527281,0.8836111638883611,0.3956591723350122,0.0969151297336189,0.08899005150429912,0.31813668368474357,-0.011034101402763855,-0.08273771368902631,-0.03522242918875468
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,magbinned_isotonic,0.08592900752181407,0.28530838374340695,0.005881508209323997,0.8837111628883711,0.3994215772349326,0.0969151297336189,0.08899005150429912,0.31813668368474357,-0.010986122211804838,-0.08310854329497512,-0.032828299941336625
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,uncalibrated,0.050005668332001305,0.18589404951875532,0.05840698433982597,0.9397,0.4516187704619862,0.050005668332001305,0.05840698433982597,0.18589404951875532,0.0,0.0,0.0
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,beta,0.04386337838749731,0.1604098734667084,0.004062453831227179,0.94494,0.3630263766774641,0.050005668332001305,0.05840698433982597,0.18589404951875532,-0.006142289944503998,-0.05434453050859879,-0.02548417605204692
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,isotonic,0.04386638567742662,0.16035001771870303,0.00300889997844606,0.94505,0.373931867380654,0.050005668332001305,0.05840698433982597,0.18589404951875532,-0.006139282654574682,-0.055398084361379905,-0.025544031800052297
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,magaware_platt,0.043875387894496735,0.1605949140765454,0.005352935692067326,0.94495,0.36380446088061946,0.050005668332001305,0.05840698433982597,0.18589404951875532,-0.006130280437504569,-0.053054048647758645,-0.025299135442209936
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,magbinned_beta,0.04384900441890293,0.16029942964533148,0.0024965409852077867,0.94498,0.36816720257234725,0.050005668332001305,0.05840698433982597,0.18589404951875532,-0.006156663913098374,-0.05591044335461818,-0.025594619873423846
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,magbinned_isotonic,0.04384558382155317,0.16055314654414754,0.0024475157321919637,0.9449,0.3854561677448137,0.050005668332001305,0.05840698433982597,0.18589404951875532,-0.006160084510448131,-0.055959468607634004,-0.025340902974607782
mag,7,0.5480600357055665,0.7323855638504029,0.6402227997779847,100000,0.02767,uncalibrated,0.022564455243009634,0.09546292339098021,0.03068680208732252,0.97326,0.43894250944187996,0.022564455243009634,0.03068680208732252,0.09546292339098021,0.0,0.0,0.0
mag,7,0.5480600357055665,0.7323855638504029,0.6402227997779847,100000,0.02767,beta,0.020133868330793364,0.0815410304348085,0.0025967816393770633,0.97509,0.3039955294775077,0.022564455243009634,0.03068680208732252,0.09546292339098021,-0.0024305869122162697,-0.028090020447945455,-0.013921892956171716
mag,7,0.5480600357055665,0.7323855638504029,0.6402227997779847,100000,0.02767,isotonic,0.020118405389513455,0.08138262105832433,0.002235513758989464,0.97506,0.3125689084895259,0.022564455243009634,0.03068680208732252,0.09546292339098021,-0.0024460498534961787,-0.028451288328333057,-0.014080302332655878
mag,7,0.5480600357055665,0.7323855638504029,0.6402227997779847,100000,0.02767,magaware_platt,0.02014066381427041,0.08170582586039472,0.0038287359559005573,0.97508,0.305849582172702,0.022564455243009634,0.03068680208732252,0.09546292339098021,-0.0024237914287392227,-0.026858066131421963,-0.013757097530585488
mag,7,0.5480600357055665,0.7323855638504029,0.6402227997779847,100000,0.02767,magbinned_beta,0.020137042363087384,0.08150182072515891,0.0020475776865831723,0.97512,0.30033745781777277,0.022564455243009634,0.03068680208732252,0.09546292339098021,-0.00242741287992225,-0.02863922440073935,-0.013961102665821304
mag,7,0.5480600357055665,0.7323855638504029,0.6402227997779847,100000,0.02767,magbinned_isotonic,0.02015611301820302,0.0842363127460112,0.0015825226225700266,0.97515,0.3475977946967708,0.022564455243009634,0.03068680208732252,0.09546292339098021,-0.002408342224806615,-0.029104279464752494,-0.011226610644969007
mag,8,0.7323855638504029,0.9382651329040523,0.8353253483772276,100000,0.01297,uncalibrated,0.011461581135053618,0.05313076751711184,0.015036047032013748,0.98656,0.30362694300518134,0.011461581135053618,0.015036047032013748,0.05313076751711184,0.0,0.0,0.0
mag,8,0.7323855638504029,0.9382651329040523,0.8353253483772276,100000,0.01297,beta,0.010488665952966734,0.04677690113045448,0.0014070986228314983,0.98735,0.13533834586466165,0.011461581135053618,0.015036047032013748,0.05313076751711184,-0.0009729151820868833,-0.013628948409182249,-0.006353866386657359
mag,8,0.7323855638504029,0.9382651329040523,0.8353253483772276,100000,0.01297,isotonic,0.010487040788633663,0.04691451077087535,0.0009905579624657436,0.98737,0.14719783929777178,0.011461581135053618,0.015036047032013748,0.05313076751711184,-0.0009745403464199547,-0.014045489069548004,-0.006216256746236493
mag,8,0.7323855638504029,0.9382651329040523,0.8353253483772276,100000,0.01297,magaware_platt,0.010491258512104583,0.046735467593633805,0.001386972549608259,0.98735,0.13769597818677573,0.011461581135053618,0.015036047032013748,0.05313076751711184,-0.0009703226229490353,-0.01364907448240549,-0.006395299923478037
mag,8,0.7323855638504029,0.9382651329040523,0.8353253483772276,100000,0.01297,magbinned_beta,0.010501954785622158,0.04676078005145958,0.0010973470309885284,0.98732,0.10829817158931083,0.011461581135053618,0.015036047032013748,0.05313076751711184,-0.0009596263494314593,-0.01393870000102522,-0.00636998746565226
mag,8,0.7323855638504029,0.9382651329040523,0.8353253483772276,100000,0.01297,magbinned_isotonic,0.010487130653313997,0.04689483099650315,0.00047078680106360873,0.98732,0.09428571428571429,0.011461581135053618,0.015036047032013748,0.05313076751711184,-0.0009744504817396204,-0.01456526023095014,-0.0062359365206086925
mag,9,0.9382651329040523,9.392659187316895,5.165462160110473,100000,0.00846,uncalibrated,0.00826377195595415,0.039096348992501126,0.011745166762641883,0.99125,0.18452935694315004,0.00826377195595415,0.011745166762641883,0.039096348992501126,0.0,0.0,0.0
mag,9,0.9382651329040523,9.392659187316895,5.165462160110473,100000,0.00846,beta,0.007311758355001415,0.03387127480226321,0.0011576172911003262,0.99168,0.08370044052863436,0.00826377195595415,0.011745166762641883,0.039096348992501126,-0.0009520136009527353,-0.010587549471541557,-0.005225074190237919
mag,9,0.9382651329040523,9.392659187316895,5.165462160110473,100000,0.00846,isotonic,0.007305965681735522,0.03377003886579247,0.0008820494459597928,0.99171,0.09200438116100766,0.00826377195595415,0.011745166762641883,0.039096348992501126,-0.0009578062742186281,-0.01086311731668209,-0.005326310126708658
mag,9,0.9382651329040523,9.392659187316895,5.165462160110473,100000,0.00846,magaware_platt,0.007321962824355608,0.03387885754997437,0.0012570322165230412,0.9917,0.08791208791208792,0.00826377195595415,0.011745166762641883,0.039096348992501126,-0.0009418091315985429,-0.010488134546118843,-0.005217491442526756
mag,9,0.9382651329040523,9.392659187316895,5.165462160110473,100000,0.00846,magbinned_beta,0.0073122101494663945,0.033781528631135,0.001128148061605408,0.99161,0.058361391694725026,0.00826377195595415,0.011745166762641883,0.039096348992501126,-0.000951561806487756,-0.010617018701036474,-0.005314820361366129
mag,9,0.9382651329040523,9.392659187316895,5.165462160110473,100000,0.00846,magbinned_isotonic,0.007299704141329162,0.03386096281521637,0.0008619756628696597,0.99157,0.043132803632236094,0.00826377195595415,0.011745166762641883,0.039096348992501126,-0.0009640678146249889,-0.010883191099772224,-0.005235386177284758
FWHM_WMEAN_I,0,-4.28941011428833,-1.2157548666000366,-2.7525824904441833,99992,0.3348967917433395,uncalibrated,0.07559052547289052,0.2508613667475605,0.05647382193577722,0.8951616129290343,0.8536731759746514,0.07559052547289052,0.05647382193577722,0.2508613667475605,0.0,0.0,0.0
FWHM_WMEAN_I,0,-4.28941011428833,-1.2157548666000366,-2.7525824904441833,99992,0.3348967917433395,beta,0.06909391924215641,0.22917281973486883,0.005430993912710317,0.9045423633890711,0.8553941248655446,0.07559052547289052,0.05647382193577722,0.2508613667475605,-0.006496606230734114,-0.0510428280230669,-0.021688547012691656
FWHM_WMEAN_I,0,-4.28941011428833,-1.2157548666000366,-2.7525824904441833,99992,0.3348967917433395,isotonic,0.06906229435213691,0.2292785222811715,0.004310032138030869,0.9046323705896472,0.8561906198160156,0.07559052547289052,0.05647382193577722,0.2508613667475605,-0.006528231120753611,-0.05216378979774635,-0.021582844466389
FWHM_WMEAN_I,0,-4.28941011428833,-1.2157548666000366,-2.7525824904441833,99992,0.3348967917433395,magaware_platt,0.0690889578887191,0.22906294420182877,0.006229216118073532,0.9045223617889431,0.8549418825495708,0.07559052547289052,0.05647382193577722,0.2508613667475605,-0.006501567584171419,-0.05024460581770369,-0.02179842254573172
